# wave,type,id,a,b,c,d,e,f

Wave1,Settings,spawnInterval,0.80,0,0,0,0,0
Wave1,Settings,maxSimultaneous,3,0,0,0,0,0
Wave1,Settings,defeatTarget,5,0,0,0,0,0
Wave1,SpawnPos,base,0,5.0,100.0,0,0,0          # xは0（RandXで足す）
Wave1,RandX,range,0,-20.0,20.0,0,0,0

Wave2,Wait,base,1.20,0,0,0,0,0
Wave2,SubWave,0,Triangle,1,6.0,80.0,0.0,7.0,5.0
Wave2,SubWave,1,Line,4,4.5,90.0,-12.0,8.0,0
Wave2,SubWave,2,Column,3,18.0,100.0,10.0,5.0,0.0
Wave2,Settings,subWaveCount,3,0,0,0,0,0

Wave3,MidBossPos,left,-12.0,6.0,80.0,0,0,0
Wave3,MidBossPos,right,12.0,6.0,80.0,0,0,0
Wave3,Settings,coreLifetime,5.0,0,0,0,0,0
Wave3,Settings,coreHP,5,0,0,0,0,0
Wave3,Settings,angryDuration,8.0,0,0,0,0,0
Wave3,CoreRand,params,18.0,35.0,75.0,6.0,0,0

# ---- Enemy params (data-driven) ----
# wave,type,id,a,b,c,d,e,f,g...
# a=model, b=hp, c.. = params (patternごとに解釈)
# 最後に behavior を追加（文字列）

Wave1,EnemyParams,default,enemy.obj,1,20.0,3.0,30.0,1.6,0,0,PounceFromAbove
# c=startY, d=targetForwardZ, e=apexY, f=pounceTime

Wave2,EnemyParams,Triangle,enemy.obj,3,0.0,0.0,-0.30,4.0,1.4,0.6,SineX
# c=velX, d=velY, e=velZ, f=sineAmp, g=sineFreq, h=phaseStep

Wave2,EnemyParams,Line,enemy.obj,2,0.0,0.0,-0.32,52.0,0,0,StraightStop
# c=velX, d=velY, e=velZ, f=stopZ

Wave2,EnemyParams,Column,enemy.obj,1,-0.20,0.0,-0.75,-50.0,0,0,StraightStop
# c=velX, d=velY, e=velZ, f=stopZ

Wave3,EnemyParams,MidBoss,enemy.obj,12,-18.0,4.0,40.0,18.0,10.0,62.0,0.10,0.24,1.5,FreeRoam
# c..h=min(x,y,z), i..k=max(x,y,z), l=normalSpeed, m=rageSpeed, n=scale(均一)

Wave3,EnemyParams,ExtraMidBoss,enemy.obj,12,0.0,0.0,-0.2,40.0,0,0,1.5,StraightStop
# c=velX, d=velY, e=velZ, f=stopZ, n=scale(均一)

